WMO_INDEX,GSOD,GHCN,MAKT
72382,723820-99999,USW00023182,
72383,,USW00023187,Yes
72384,,USW00023155,Yes
72386,,USW00023169,Yes
72389,,USW00093193,Yes
72391,,USW00093111,
72392,723920-99999,USW00023190,
72394,,USW00023273,Yes
72398,,USW00093720,
72399,,USW00014711,
72401,,USW00013740,Yes
72403,,USW00093738,Yes
72404,,USW00013721,
72405,,USW00013743,Yes
72406,,USW00093721,Yes
72407,,USW00093730,Yes
72408,,USW00013739,Yes
72410,,USW00013733,Yes
72411,,USW00013741,Yes
72412,,USW00003872,Yes
72414,,USW00013866,Yes
72417,,USW00013729,Yes
72418,,USW00013781,
72420,,USW00014891,
72421,,USW00093814,Yes
72422,,USW00093820,Yes
72423,,USW00093821,Yes
72424,724240-99999,,
72425,,USW00003860,Yes
72426,,USW00013841,
72427,724270-99999,USW00003804,
72428,,USW00014821,Yes
72429,,USW00093815,Yes
72432,,USW00093817,Yes
72433,724330-99999,USC00117636,
72434,,USW00013994,Yes
72435,,USW00003816,Yes
72438,,USW00093819,Yes
72439,,USW00093822,
72440,,USW00013995,Yes
72442,,USW00013997,
72443,,USW00093989,
72445,,USW00003945,Yes
72446,,USW00003947,Yes
72447,,USW00093909,
72449,724490-99999,USW00013993,
72450,,USW00003928,Yes
72451,,USW00013985,Yes
72453,,USW00013969,
72455,724550-99999,USW00013947,
72456,,USW00013996,Yes
72458,,USW00013984,Yes
72462,,USW00023061,Yes
72464,,USW00093058,Yes
72465,,USW00023065,Yes
72466,,USW00093037,
72469,,USW00023062,
72475,724750-99999,USC00425654,Yes
72476,,USW00023066,Yes
72479,,USW00023162,
72480,,USW00023157,Yes
72481,,USW00023203,
72483,,USP00CA0003,
72486,,USW00023154,Yes
72488,,USW00023185,Yes
72492,,USW00023237,Yes
72493,724930-99999,USW00023230,
72494,,USW00023234,Yes
72497,724970-99999,USW00054811,
72502,,USW00014734,Yes
72503,,USW00014732,Yes
72504,,USW00094702,Yes
72505,,USW00004781,
72506,725060-99999,USW00014704,Yes
72507,,USW00014765,Yes
72508,,USW00014740,Yes
72509,,USW00014739,Yes
72510,,USW00094746,
72511,,USW00014751,
72513,,USW00014777,Yes
72514,,USW00014778,Yes
72515,,USW00004725,Yes
72517,,USW00014737,Yes
72518,,USW00014735,Yes
72519,,USW00014771,Yes
72520,,USW00094823,Yes
72521,,USW00014895,Yes
72522,,USW00014750,
72523,,USW00094704,
72524,,USW00014820,Yes
72525,,USW00014852,Yes
72526,,USW00014860,Yes
72528,,USW00014733,Yes
72529,,USW00014768,Yes
72530,,USW00094846,Yes
72532,,USW00014842,Yes
72533,,USW00014827,Yes
72534,,USC00111577,Yes
72535,,USW00014848,Yes
72536,,USW00094830,Yes
72537,,USW00094847,Yes
72539,,USW00014836,Yes
72540,725400-99999,USC00237963,
72542,,USW00014931,
72543,,USW00094822,Yes
72544,,USW00014923,Yes
72546,,USW00014933,Yes
72547,,USW00094908,Yes
72548,,USW00094910,Yes
72550,,USW00014942,Yes
72551,,USW00014939,Yes
72552,,USW00014935,Yes
72554,725540-99999,USW00014949,
72556,,USW00014941,Yes
72557,,USW00014943,Yes
72561,725610-99999,USW00024030,
72562,,USW00024023,Yes
72564,,USW00024018,Yes
72566,,USW00024028,Yes
72567,,USW00024032,Yes
72569,,USW00024089,Yes
72572,,USW00024127,Yes
72574,,USW00004131,
72575,725750-99999,USW00024126,
72576,,USW00024021,
72578,,USW00024156,Yes
72581,725810-99999,USW00024193,
72583,,USW00024128,Yes
72591,,USW00024216,Yes
72592,,USW00024257,Yes
72593,,USW00023233,
72594,725940-99999,USW00024213,Yes
72595,725950-99999,,
72597,,USW00024225,Yes
72598,725980-99999,,
72605,,USW00014745,Yes
72606,,USW00014764,Yes
72608,,USC00172426,
72612,726120-99999,USC00435542,
72613,726130-99999,USW00014755,
72614,,USC00437054,
72617,,USW00014742,Yes
72635,,USW00094860,Yes
72636,,USW00014840,Yes
72637,,USW00014826,Yes
72638,,USW00094814,Yes
72639,,USW00094849,Yes
72640,,USW00014839,Yes
72641,,USW00014837,Yes
72643,,USW00014920,
72644,,USW00014925,Yes
72645,,USW00014898,Yes
72646,,USW00014897,
72648,726480-99999,USW00014824,
72650,726500-99999,USC00137844,
72651,,USW00014944,Yes
72654,,USW00014936,Yes
72655,,USW00014926,
72656,726560-99999,USW00024025,
72658,,USW00014922,Yes
72659,,USW00014929,Yes
72662,,USW00024090,Yes
72666,,USW00024029,Yes
72670,726700-99999,,
72672,726720-99999,,Yes
72677,,USW00024033,Yes
72681,,USW00024131,Yes
72688,,USW00024155,Yes
72692,,USW00024230,
72693,,USW00024221,Yes
72694,,USW00024232,Yes
72698,,USW00024229,Yes
72712,,USW00014607,Yes
72713,727130-99999,,
72734,,USW00014847,Yes
72741,727410-99999,USC00476398,
72743,,USW00014838,
72744,,USW00014858,
72745,,USW00014913,Yes
72747,,USW00014918,Yes
72753,,USW00014914,Yes
72755,727550-99999,USC00210643,
72757,727570-99999,USW00014916,
72763,,USW00024012,
72764,,USW00024011,Yes
72767,,USW00094014,Yes
72768,,USW00094008,Yes
72769,,USW00024137,
72770,,USW00024138,
72772,,USW00024144,Yes
72773,,USW00024153,Yes
72774,,USW00024135,
72775,,USW00024143,
72777,,USW00094012,Yes
72779,,USC00244558,
72781,,USW00024243,Yes
72783,,USW00024149,Yes
72785,,USW00024157,Yes
72790,,USW00024141,
72791,,USW00094224,Yes
72792,,USW00024227,Yes
72793,,USW00024233,Yes
72797,,USW00094240,Yes
74206,742060-99999,USW00024207,
74230,,USW00024037,
74420,744200-99999,USC00427395,
74486,,USW00094789,Yes
74490,744900-99999,USW00014702,
74491,744910-99999,USW00014703,
74492,,USW00014753,
74509,745090-99999,USW00023244,
74516,745160-99999,USW00023202,
74532,,USW00093010,
74570,745700-99999,USW00013840,
74594,745940-99999,USW00013705,
74598,745980-99999,USW00013702,
74612,,USW00093104,
74641,746410-99999,USW00013975,
74671,746710-99999,USW00013806,
74736,,USW00093042,
74739,,USW00013961,
74740,,USW00013973,Yes
74745,,USW00013904,
74754,747540-99999,USW00013934,
74758,,USW00013978,
74775,747750-99999,USW00013846,
74776,747760-99999,USW00003818,
74783,,USW00012849,
74787,,USW00012834,
74788,747880-99999,USW00012810,
74790,747900-99999,USW00013849,
74791,747910-99999,USW00013717,
74793,747930-99999,USW00012843,
74794,747940-99999,USW00012868,
74795,747950-99999,USW00012867,
76061,760610-99999,MXM00076061,Yes
76113,761130-99999,MXM00076113,Yes
76122,761220-99999,MXM00076122,Yes
76160,761600-99999,MXM00076160,Yes
76220,762200-99999,MXM00076220,Yes
76225,762250-99999,MXM00076225,Yes
76243,762430-99999,,Yes
76256,762560-99999,MXM00076243,Yes
76305,763050-99999,MXM00076305,Yes
76342,763420-99999,MXM00076342,Yes
76382,763820-99999,MXM00076382,Yes
76390,763900-99999,MXM00076390,Yes
76393,763930-99999,MXM00076393,Yes
76402,764020-99999,MXM00076402,Yes
76405,764050-99999,MXM00076405,Yes
76458,764580-99999,MXM00076458,Yes
76491,764910-99999,MXM00076491,Yes
76499,764990-99999,MXM00076499,Yes
76525,765250-99999,MXM00076525,Yes
76548,765480-99999,MXM00076548,Yes
76556,765560-99999,MXM00076556,Yes
76577,765770-99999,MXM00076577,Yes
76612,766120-99999,MXM00076612,Yes
76644,766440-99999,MXM00076644,Yes
76654,766540-99999,MXM00076654,Yes
76662,766620-99999,MXM00076662,Yes
76665,766650-99999,MXM00076665,Yes
76680,766800-99999,MXM00076680,Yes
76685,766850-99999,MXM00076685,Yes
76687,766870-99999,MXM00076687,Yes
76692,766920-99999,MXM00076692,Yes
76695,766950-99999,MXM00076695,Yes
76698,766980-99999,MXM00076698,Yes
76726,767260-99999,MXM00076726,Yes
76741,767410-99999,MXM00076741,Yes
76750,767500-99999,MXM00076750,Yes
76775,767750-99999,MXM00076775,Yes
76805,768050-99999,MXM00076805,Yes
76855,768550-99999,MXM00076855,Yes
76903,769030-99999,MXM00076903,Yes
78016,780160-99999,BDM00078016,Yes
78073,780730-99999,BF000078073,Yes
78224,782240-99999,,Yes
78244,782440-99999,,Yes
78255,782550-99999,,Yes
78264,782640-99999,,Yes
78367,,CUW00011706,
78388,783880-99999,JM000078388,Yes
78397,783970-99999,JMM00078397,Yes
78409,784090-99999,,
78439,784390-99999,,
78457,784570-99999,,
78486,784860-99999,DRM00078486,Yes
78526,785260-99999,RQW00011641,Yes
78583,785830-99999,BHM00078583,Yes
78637,786370-99999,,Yes
78641,786410-99999,,Yes
78647,786470-99999,,Yes
78663,786630-99999,ES003800510,Yes
78700,787000-99999,,Yes
78706,787060-99999,,Yes
78708,787080-99999,HOM00078708,Yes
78714,787140-99999,HO000078714,Yes
78717,787170-99999,,Yes
78720,787200-99999,HO000078720,Yes
78730,787300-99999,,
78741,787410-99999,NUM00078741,
78745,787450-99999,,
78762,787620-99999,CSM00078762,Yes
78767,787670-99999,CS000081003,Yes
78793,787930-99999,,Yes
78866,788660-99999,NNM00078866,Yes
78897,788970-99999,GP000078897,Yes
78925,789250-99999,MBM00078925,Yes
78954,789540-99999,BB000078954,Yes
78970,789700-99999,TDM00078970,Yes
78988,789880-99999,UCM00078988,Yes
80001,800010-99999,CO000080001,Yes
80022,800220-99999,COM00080022,Yes
80028,800280-99999,COM00080028,Yes
80110,801100-99999,COM00080110,Yes
80222,802220-99999,CO000080222,Yes
80259,802590-99999,CO000080259,Yes
80342,803420-99999,CO000080342,Yes
80403,804030-99999,VEM00080403,Yes
80407,804070-99999,VEM00080407,Yes
80410,804100-99999,VEM00080410,Yes
80413,804130-99999,VE000080413,Yes
80415,804150-99999,VEM00080415,Yes
80416,804160-99999,VEM00080416,Yes
80419,804190-99999,VEM00080419,Yes
80423,804230-99999,VE000080423,Yes
80435,804350-99999,VEM00080435,Yes
80438,804380-99999,VE000080438,Yes
80444,804440-99999,VEM00080444,Yes
80447,804470-99999,VEM00080447,Yes
80450,804500-99999,VE000080450,Yes
80453,804530-99999,VE000080453,
80457,804570-99999,VEM00080457,Yes
80462,804620-99999,VE000080462,Yes
81001,810010-99999,GYM00081001,Yes
81002,810020-99999,GYW00010502,Yes
81225,812250-99999,NSM00081225,Yes
81401,814010-99999,FGM00081401,Yes
81405,814050-99999,FG000081405,Yes
81408,814080-99999,FGM00081408,Yes
81415,814150-99999,FGM00081415,Yes
82098,820980-99999,BRM00082098,Yes
82106,821060-99999,BRM00082106,Yes
82184,821840-99999,BR000152000,Yes
82193,821930-99999,BRM00082193,Yes
82212,822120-99999,BRM00082212,Yes
82263,822630-99999,BR000249000,Yes
82280,822800-99999,BR027510430,Yes
82281,822810-99999,,Yes
82288,822880-99999,BR027568450,
82294,,BR027597790,
82317,823170-99999,,Yes
82361,823610-99999,BRM00082361,Yes
82392,823920-99999,BR027794310,Yes
82397,823970-99999,BR028724960,Yes
82398,823980-99999,,Yes
82400,824000-99999,BR000082400,Yes
82476,,BR027936330,Yes
82493,824930-99999,BR028946430,Yes
82533,825330-99999,BRM00082533,Yes
82564,825640-99999,,Yes
82571,825710-99999,BR036190520,Yes
82578,825780-99999,BR037041390,Yes
82579,825790-99999,BR037041370,Yes
82583,825830-99999,BR037083690,Yes
82586,825860-99999,BR038014410,Yes
82588,,BR038032250,Yes
82594,825940-99999,BR038062750,Yes
82598,825980-99999,BR038196570,Yes
82599,825990-99999,,Yes
82686,826860-99999,BR038217420,Yes
82691,,BR038262380,
82704,827040-99999,BR000082704,Yes
82789,827890-99999,BR038536790,Yes
82795,827950-99999,BR038484280,Yes
82798,827980-99999,BR039402250,Yes
82807,828070-99999,,Yes
82886,828860-99999,BR038710390,Yes
82986,829860-99999,BR038837530,Yes
82993,829930-99999,BR038983570,Yes
83064,830640-99999,BRM00083064,Yes
83090,,BR048018360,Yes
83096,830960-99999,BR048158910,Yes
83184,831840-99999,BR047370760,Yes
83186,831860-99999,BR001140016,Yes
83190,,BR048323010,Yes
83192,831920-99999,BR001138014,Yes
83229,832290-99999,BR048620980,Yes
83236,832360-99999,BR047403040,Yes
83242,832420-99999,BR047571250,Yes
83248,832480-99999,,Yes
83288,832880-99999,BR047635180,Yes
83386,833860-99999,BR001544031,Yes
83437,834370-99999,BR057324290,Yes
83481,,BR001746006,Yes
83498,834980-99999,BR058514530,Yes
83525,835250-99999,BR001848001,
83531,835310-99999,BR001846000,Yes
83536,,BR001844000,
83552,835520-99999,BR001957002,Yes
83574,,BR002048102,Yes
83582,835820-99999,BR002045001,Yes
83583,835830-99999,,Yes
83586,835860-99999,BR001944016,Yes
83587,835870-99999,BRM00083587,Yes
83588,835880-99999,BR001943012,
83589,835890-99999,BR001943002,Yes
83612,836120-99999,,Yes
83630,836300-99999,BR002047016,Yes
83669,836690-99999,BR00C4-0170,Yes
83671,836710-99999,BR00C4-0630,Yes
83676,836760-99999,BR00C5-0040,Yes
83681,836810-99999,,
83683,836830-99999,BR002145002,Yes
83687,836870-99999,BR002144014,Yes
83695,836950-99999,BR002141004,Yes
83698,836980-99999,BRM00083698,Yes
83708,837080-99999,BR002245032,Yes
83716,837160-99999,BR00D8-0390,Yes
83721,837210-99999,BR00E4-1230,Yes
83722,837220-99999,BR00D6-0010,Yes
83726,837260-99999,BR00D4-0750,Yes
83736,837360-99999,BR002245081,Yes
83738,837380-99999,BR002244032,Yes
83748,837480-99999,,Yes
83767,837670-99999,,Yes
83780,837800-99999,BR00E3-0520,Yes
83781,837810-99999,BR00E3-0070,Yes
83783,837830-99999,BR002452048,Yes
83813,838130-99999,BR002450000,Yes
83827,838270-99999,BRM00083827,Yes
83842,838420-99999,BR002549075,Yes
83844,838440-99999,BR002548005,Yes
83851,,BR00E4-0480,
83907,839070-99999,,Yes
83914,839140-99999,,Yes
83920,839200-99999,BR002849003,Yes
83942,839420-99999,,Yes
83967,839670-99999,BRM00083967,Yes
83995,839950-99999,BR003252024,Yes
83997,839970-99999,BRM00083997,Yes
84001,840010-99999,,Yes
84008,840080-99999,ECM00084008,Yes
84135,841350-99999,ECM00084135,Yes
84140,841400-99999,EC000000006,Yes
84226,842260-99999,ECM00084226,Yes
84377,843770-99999,PE000084377,Yes
84390,843900-99999,PEM00084390,Yes
84401,844010-99999,PEM00084401,Yes
84452,844520-99999,PEM00084452,Yes
84455,844550-99999,PE000084455,Yes
84501,845010-99999,PEM00084501,Yes
84515,845150-99999,PEM00084515,Yes
84628,846280-99999,PEM00084628,Yes
84686,846860-99999,PEM00084686,Yes
84691,846910-99999,PEM00084691,Yes
84735,847350-99999,PEM00084735,Yes
84752,847520-99999,PE000084752,Yes
84782,847820-99999,PEM00084782,Yes
85041,850410-99999,BL000085041,Yes
85043,850430-99999,BL000085043,Yes
85104,851040-99999,BLM00085104,Yes
85141,851410-99999,BL000085141,Yes
85154,851540-99999,BLM00085154,Yes
85196,851960-99999,BLM00085196,Yes
85201,852010-99999,BLM00085201,Yes
85207,852070-99999,BLM00085207,Yes
85223,852230-99999,BL000085223,Yes
85242,852420-99999,BLM00085242,Yes
85245,852450-99999,BLM00085245,Yes
85247,852470-99999,BLM00085247,Yes
85268,852680-99999,BLM00085268,Yes
85283,852830-99999,BLM00085283,Yes
85289,852890-99999,BLM00085289,Yes
85293,852930-99999,BLM00085293,Yes
85315,853150-99999,BLM00085315,Yes
85365,853650-99999,BL000085365,Yes
85406,854060-99999,CI000085406,Yes
85418,854180-99999,CIM00085418,Yes
85442,854420-99999,CI000085442,Yes
85469,854690-99999,CI000085469,Yes
85488,854880-99999,CI000085488,Yes
85574,855740-99999,CIM00085574,Yes
85577,855770-99999,CI000085543,Yes
85585,855850-99999,CI000085585,Yes
85629,856290-99999,CI000085629,Yes
85672,856720-99999,CIM00085672,Yes
85682,856820-99999,CIM00085682,Yes
85743,857430-99999,CI000085743,Yes
85766,857660-99999,CIM00085766,Yes
85782,857820-99999,CIM00085782,Yes
85799,857990-99999,CI000085799,Yes
85934,859340-99999,CI000085934,Yes
86033,860330-99999,PA000086033,Yes
86068,860680-99999,PA000086068,Yes
86086,860860-99999,PA000086086,Yes
86097,860970-99999,PAM00086097,Yes
86134,861340-99999,PA000086134,Yes
86218,862180-99999,PAM00086218,Yes
86233,862330-99999,PAM00086233,Yes
86255,862550-99999,PAM00086255,Yes
86260,862600-99999,PAM00086260,Yes
86297,862970-99999,PA000086297,Yes
86360,863600-99999,UY000086360,Yes
86430,864300-99999,UY000086430,Yes
86440,864400-99999,UY000001709,Yes
86460,864600-99999,UY000001915,Yes
86490,864900-99999,UY000086490,Yes
86530,865300-99999,UY000002206,Yes
86560,865600-99999,UYM00086560,Yes
86565,865650-99999,UY000086565,Yes
86580,865800-99999,UYM00086580,Yes
87007,870070-99999,AR000087007,Yes
87016,870160-99999,ARM00087016,Yes
87046,870460-99999,ARM00087046,Yes
87047,870470-99999,AR000870470,Yes
87078,870780-99999,AR000087078,Yes
87121,871210-99999,ARM00087121,Yes
87129,871290-99999,,Yes
87148,871480-99999,ARM00087148,Yes
87149,871490-99999,AR000087129,
87155,871550-99999,AR000087155,Yes
87162,871620-99999,ARM00087162,Yes
87178,871780-99999,ARM00087178,Yes
87217,872170-99999,AR000087217,Yes
87222,872220-99999,ARM00087222,Yes
87244,872440-99999,ARM00087244,Yes
87257,872570-99999,AR000087257,Yes
87270,872700-99999,AR000087270,Yes
87289,872890-99999,ARM00087289,Yes
87311,873110-99999,ARM00087311,Yes
87320,873200-99999,ARM00087320,Yes
87328,873280-99999,ARM00087328,Yes
87344,873440-99999,AR000087344,Yes
87349,873490-99999,ARM00087349,Yes
87374,873740-99999,AR000087374,Yes
87393,873930-99999,AR000000011,Yes
87395,873950-99999,ARM00087395,Yes
87418,874180-99999,AR000087418,Yes
87436,874360-99999,ARM00087436,Yes
87448,874480-99999,ARM00087448,Yes
87453,874530-99999,ARM00087453,Yes
87467,874670-99999,ARM00087467,Yes
87480,874800-99999,ARM00087480,Yes
87497,874970-99999,ARM00087497,Yes
87506,875060-99999,ARM00087506,Yes
87509,875090-99999,ARM00087509,Yes
87532,875320-99999,ARM00087532,Yes
87534,875340-99999,AR000087534,Yes
87544,875440-99999,AR000875440,
87548,875480-99999,ARM00087548,Yes
87576,875760-99999,ARM00087576,Yes
87593,875930-99999,ARM00087593,Yes
87596,875960-99999,ARM00087596,
87623,876230-99999,AR000087623,Yes
87641,876410-99999,ARM00087641,Yes
87648,876480-99999,ARM00087648,Yes
87688,876880-99999,ARM00087688,Yes
87692,876920-99999,AR000087692,Yes
87715,877150-99999,AR000087715,Yes
87750,877500-99999,AR000877500,Yes
87765,877650-99999,ARM00087765,Yes
87774,877740-99999,ARM00087774,Yes
87784,877840-99999,ARM00087784,Yes
87803,878030-99999,AR000087803,Yes
87828,878280-99999,AR000087828,Yes
87860,878600-99999,AR000087860,Yes
87896,878960-99999,ARM00087896,Yes
87909,879090-99999,ARM00087909,Yes
87925,879250-99999,AR000087925,Yes
87938,879380-99999,ARM00087938,Yes
88889,888890-99999,FKM00088889,Yes
88903,889030-99999,SXM00088903,Yes
88963,889630-99999,AYM00088963,Yes
88968,889680-99999,AYM00088968,Yes
89009,890090-99999,AYW00090001,Yes
89022,890220-99999,AYM00089022,Yes
89034,890340-99999,AYM00089034,Yes
89050,890500-99999,AYM00089050,Yes
89055,890550-99999,AYM00089055,Yes
89056,890560-99999,AYM00089056,Yes
89057,890570-99999,AYM00089057,Yes
89059,890590-99999,AYM00089059,Yes
89061,890610-99999,AYM00089061,Yes
89062,890620-99999,AYM00089062,Yes
89063,890630-99999,AYM00089063,Yes
89066,890660-99999,AYM00089066,Yes
89324,893240-99999,AYM00089324,Yes
89512,895120-99999,AYM00089512,Yes
89532,895320-99999,AYM00089532,Yes
89542,895420-99999,AYM00089542,Yes
89564,895640-99999,AYM00089564,Yes
89571,895710-99999,AYM00089571,Yes
89592,895920-99999,AYM00089592,Yes
89606,896060-99999,AYM00089606,Yes
89611,896110-99999,AYM00089611,Yes
89642,896420-99999,AYM00089642,Yes
89664,896640-99999,AYM00089664,Yes
91066,910660-99999,MQW00022701,
91162,,USW00022501,
91165,,USW00022536,Yes
91172,,USC00515647,
91176,,USW00022519,
91182,,USW00022521,Yes
91184,911840-99999,USC00519523,
91186,911860-99999,USW00022534,
91190,,USW00022516,Yes
91196,,USC00512679,
91212,,GQW00041415,Yes
91246,,WQW00041606,
91285,,USW00021504,Yes
91334,,FMW00040505,Yes
91348,913480-99999,FMW00040504,Yes
91355,913550-99999,,
91366,,RMW00040604,
91376,,RMW00040710,Yes
91408,,PSW00040309,Yes
91413,,,Yes
91490,914900-99999,FMW00040308,Yes
91503,915030-99999,BP000091503,Yes
91517,915170-99999,BP000091517,Yes
91520,915200-99999,BPW00080601,Yes
91551,915510-99999,NHM00091551,Yes
91554,915540-99999,NH000091554,Yes
91562,915620-99999,,
91568,915680-99999,NH000091568,Yes
91577,915770-99999,NC000091577,Yes
91590,915900-99999,,Yes
91592,915920-99999,NC000915920,Yes
91601,916010-99999,,Yes
91610,916100-99999,KR000091610,Yes
91631,916310-99999,TV000091631,Yes
91643,916430-99999,TV000091643,Yes
91650,916500-99999,FJ000091650,Yes
91652,916520-99999,FJ000091652,Yes
91660,916600-99999,,Yes
91680,916800-99999,FJ000091680,Yes
91699,916990-99999,FJM00091699,Yes
91753,917530-99999,WF000917530,Yes
91765,,AQW00061705,Yes
91830,918300-99999,,
91925,919250-99999,FP000091925,Yes
91929,919290-99999,,Yes
91930,919300-99999,FP000091929,
91938,919380-99999,FP000091938,Yes
91943,919430-99999,FP000091943,Yes
91945,919450-99999,FPM00091945,Yes
91948,919480-99999,FP000091948,Yes
91954,919540-99999,FP000091954,Yes
91958,919580-99999,FP000091958,Yes
93012,930120-99999,,
93119,931190-99999,NZ000093012,
93292,932920-99999,NZ000093292,Yes
93309,933090-99999,NZ000933090,Yes
93527,935270-99999,,Yes
93546,935460-99999,,Yes
93614,936140-99999,,
93615,936150-99999,,Yes
93709,937090-99999,,Yes
93780,937800-99999,,
93844,938440-99999,,
93845,938450-99999,NZ000093844,Yes
93947,939470-99999,NZ000939450,Yes
93987,939870-99999,NZ000939870,Yes
93994,939940-99999,,Yes
93997,939970-99999,NZ000093994,
94014,940140-99999,PP000092014,
94100,941000-99999,ASN00001019,Yes
94117,941170-99999,ASN00014938,Yes
94120,941200-99999,ASN00014015,Yes
94131,941310-99999,ASN00014932,Yes
94132,941320-99999,ASN00014903,Yes
94139,941390-99999,ASN00014401,Yes
94150,941500-99999,ASN00014508,Yes
94153,941530-99999,ASN00014518,Yes
94170,941700-99999,ASN00027045,Yes
94174,941740-99999,ASN00027058,Yes
94186,941860-99999,ASN00028008,Yes
94200,942000-99999,ASN00004019,Yes
94201,942010-99999,ASN00003057,Yes
94202,942020-99999,ASN00003030,Yes
94203,942030-99999,ASN00003003,Yes
94208,942080-99999,ASN00001009,
94212,942120-99999,ASN00002012,Yes
94213,942130-99999,ASN00002032,Yes
94214,942140-99999,ASN00001013,Yes
94216,942160-99999,ASN00002056,Yes
94232,942320-99999,ASN00014825,Yes
94234,942340-99999,ASN00014626,Yes
94236,942360-99999,ASN00015131,Yes
94237,942370-99999,ASN00014612,Yes
94238,942380-99999,ASN00015135,Yes
94242,942420-99999,ASN00015085,Yes
94255,942550-99999,ASN00037010,Yes
94257,942570-99999,ASN00029139,Yes
94259,942590-99999,ASN00029004,
94260,942600-99999,ASN00029077,Yes
94266,942660-99999,ASN00029063,Yes
94267,942670-99999,,
94268,942680-99999,ASN00029038,Yes
94269,942690-99999,ASN00029012,Yes
94274,942740-99999,ASN00030124,Yes
94276,942760-99999,ASN00028004,Yes
94285,942850-99999,ASN00031037,Yes
94287,942870-99999,ASN00031010,Yes
94291,942910-99999,ASN00032025,Yes
94292,942920-99999,ASN00032004,Yes
94294,942940-99999,ASN00032040,Yes
94299,942990-99999,ASM00094299,Yes
94300,943000-99999,ASN00006011,Yes
94302,943020-99999,ASN00005007,Yes
94305,943050-99999,ASN00005016,
94306,943060-99999,ASN00005008,Yes
94308,943080-99999,ASN00004090,Yes
94309,943090-99999,ASN00004035,Yes
94311,943110-99999,ASN00004028,Yes
94312,943120-99999,ASN00004032,Yes
94313,943130-99999,ASN00005026,Yes
94315,943150-99999,,
94318,943180-99999,ASN00006072,Yes
94326,943260-99999,ASN00015590,Yes
94329,943290-99999,ASN00037043,Yes
94332,943320-99999,ASN00029126,Yes
94333,943330-99999,ASN00038003,Yes
94334,943340-99999,ASN00038000,Yes
94335,943350-99999,ASN00029141,Yes
94339,943390-99999,ASN00037051,Yes
94340,943400-99999,ASN00030045,Yes
94345,,ASN00036026,Yes
94346,943460-99999,ASN00036031,Yes
94350,943500-99999,ASN00036007,Yes
94355,943550-99999,ASN00035069,Yes
94356,943560-99999,ASN00034084,Yes
94360,943600-99999,ASN00033013,Yes
94366,943660-99999,ASN00033257,Yes
94367,943670-99999,ASN00033119,Yes
94369,943690-99999,ASN00033065,Yes
94374,943740-99999,ASN00039083,Yes
94375,943750-99999,ASN00039004,Yes
94376,943760-99999,ASN00039089,Yes
94377,943770-99999,ASN00039104,Yes
94380,943800-99999,ASN00039123,Yes
94387,943870-99999,ASN00039128,Yes
94388,943880-99999,ASN00039059,Yes
94390,943900-99999,ASN00039085,Yes
94402,944020-99999,ASN00006044,Yes
94403,944030-99999,ASN00008051,Yes
94404,944040-99999,ASN00007139,Yes
94410,,ASN00006022,Yes
94411,,ASN00008095,Yes
94415,944150-99999,ASN00008025,Yes
94430,944300-99999,ASN00007045,Yes
94439,944390-99999,ASN00013012,Yes
94444,944440-99999,ASN00012239,Yes
94448,944480-99999,ASN00012046,
94451,944510-99999,ASN00013015,Yes
94457,944570-99999,ASN00013011,Yes
94461,944610-99999,ASN00013017,Yes
94463,944630-99999,ASN00015511,Yes
94476,944760-99999,ASN00017043,Yes
94480,944800-99999,ASN00017031,Yes
94482,944820-99999,,
94485,944850-99999,ASN00046037,Yes
94488,944880-99999,ASN00038024,Yes
94494,944940-99999,ASN00045015,Yes
94497,944970-99999,ASN00048079,Yes
94500,945000-99999,ASN00044026,Yes
94510,945100-99999,ASN00044021,Yes
94511,945110-99999,ASN00043015,Yes
94513,,ASN00044010,Yes
94514,,ASN00043020,Yes
94515,945150-99999,ASN00043091,Yes
94517,945170-99999,ASN00043109,Yes
94520,945200-99999,ASN00052020,Yes
94521,,ASN00043035,Yes
94525,945250-99999,ASN00035070,Yes
94541,945410-99999,ASN00056018,Yes
94543,945430-99999,,
94550,945500-99999,ASN00041095,Yes
94556,945560-99999,ASN00056032,Yes
94562,945620-99999,ASN00040082,Yes
94566,945660-99999,ASN00040093,Yes
94567,945670-99999,ASN00040126,Yes
94568,945680-99999,ASN00040004,Yes
94570,945700-99999,ASN00040908,Yes
94571,945710-99999,ASN00058130,Yes
94574,945740-99999,ASN00058063,Yes
94575,945750-99999,ASN00040211,Yes
94578,945780-99999,ASN00040223,Yes
94584,945840-99999,ASN00040068,Yes
94585,945850-99999,ASN00056013,Yes
94587,,ASN00057095,Yes
94589,945890-99999,ASN00058012,Yes
94594,945940-99999,ASN00040043,Yes
94600,946000-99999,ASN00009519,Yes
94601,946010-99999,ASN00009518,Yes
94602,946020-99999,ASN00009193,Yes
94608,946080-99999,ASN00009225,Yes
94610,946100-99999,ASN00009021,Yes
94612,946120-99999,ASN00009053,Yes
94616,946160-99999,ASN00009510,
94617,946170-99999,ASN00009573,Yes
94619,946190-99999,ASN00008039,
94620,946200-99999,ASN00009538,Yes
94621,946210-99999,ASN00010111,Yes
94622,946220-99999,ASN00008137,Yes
94623,,ASN00010311,Yes
94625,,ASN00010524,Yes
94627,,ASN00010614,Yes
94629,946290-99999,ASN00010579,
94630,,ASN00009581,Yes
94632,946320-99999,ASN00010007,Yes
