WMO_INDEX,GSOD,GHCN,MAKT
64750,647500-99999,CD000004750,Yes
64756,647560-99999,CD000004756,Yes
64758,647580-99999,CD000004758,Yes
64860,648600-99999,CMM00064860,Yes
64870,648700-99999,CM000064870,Yes
64910,649100-99999,CM000004910,Yes
65046,650460-99999,NIM00065046,Yes
65306,653060-99999,BN000065306,Yes
65319,653190-99999,BN000005319,Yes
65330,653300-99999,BNM00065330,Yes
65335,653350-99999,BN000065335,Yes
65338,653380-99999,BNM00065338,Yes
65344,653440-99999,BN000005344,Yes
65352,653520-99999,TOM00065352,Yes
65361,653610-99999,TO000005361,Yes
65376,653760-99999,TO000005376,Yes
65380,653800-99999,TO000005380,Yes
65387,653870-99999,TOM00065387,Yes
65472,654720-99999,GHM00065472,Yes
65501,655010-99999,UV000065501,Yes
65502,655020-99999,UV000005502,Yes
65503,655030-99999,UVM00065503,Yes
65507,655070-99999,UV000005507,Yes
65510,655100-99999,UVM00065510,Yes
65516,655160-99999,UV000065516,Yes
65522,655220-99999,UV000005522,Yes
65545,655450-99999,IVM00065545,Yes
65548,655480-99999,IV000005548,Yes
65555,655550-99999,IV000005555,Yes
65557,655570-99999,IV000005557,Yes
65562,655620-99999,IV000005562,Yes
65578,655780-99999,IVM00065578,Yes
65585,655850-99999,IV000065585,Yes
65592,655920-99999,IV000005592,Yes
65599,655990-99999,IV000065599,Yes
65660,656600-99999,LIM00065660,Yes
66104,661040-99999,,Yes
66160,661600-99999,AO000066160,Yes
66215,662150-99999,,
66226,662260-99999,,Yes
66285,662850-99999,,Yes
66318,663180-99999,,Yes
66390,663900-99999,AO000066390,Yes
67005,670050-99999,MFM00067005,Yes
67009,670090-99999,MA000067009,Yes
67027,670270-99999,MAM00067027,Yes
67073,670730-99999,MAM00067073,Yes
67083,670830-99999,MA000067083,Yes
67095,670950-99999,MA000067095,Yes
67161,671610-99999,MA000067161,Yes
67197,671970-99999,MA000067197,Yes
67215,672150-99999,MZ000067215,Yes
67217,672170-99999,MZ000067217,Yes
67237,672370-99999,MZ000067237,Yes
67261,672610-99999,MZ000067261,Yes
67283,672830-99999,MZ000067283,Yes
67295,672950-99999,MZ000067295,Yes
67297,672970-99999,MZ000067297,Yes
67323,673230-99999,MZ000067323,Yes
67335,673350-99999,MZ000067335,Yes
67341,673410-99999,MZM00067341,Yes
67586,675860-99999,MIM00067586,Yes
67633,676330-99999,ZA000067633,Yes
67663,676630-99999,ZAM00067663,Yes
67693,676930-99999,MI000067693,Yes
67743,677430-99999,ZA000067743,Yes
67775,677750-99999,ZI000067775,Yes
67964,679640-99999,ZI000067964,Yes
67975,679750-99999,ZI000067975,Yes
68014,680140-99999,WA010101860,Yes
68024,680240-99999,BC008382520,Yes
68026,680260-99999,BC000068026,Yes
68029,680290-99999,BC012192590,Yes
